service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"0 - LinkFM_#10_2015-07-14T13:06:43_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#11_2015-07-14T13:06:43_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#11_2015-07-14T13:06:43_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#11_2015-07-14T13:06:43_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#11_2015-07-14T13:06:43_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#11_2015-07-14T13:06:43_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#11_2015-07-14T13:06:43_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#12_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#12_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#12_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#12_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#12_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#12_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#13_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#13_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#13_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#13_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#13_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#13_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#14_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#14_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#14_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#14_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#14_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#14_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#15_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#15_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#15_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#15_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#15_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#15_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#16_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#16_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#16_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#16_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#16_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#16_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#17_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#17_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#17_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#17_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#17_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#17_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#18_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#18_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#18_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#18_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#18_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#18_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#19_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#19_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#19_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#19_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#19_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#19_2015-07-14T13:06:44_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
