stop_id,stop_name,stop_lat,stop_lon
"12th Ave S & 18th St S (Corner SW)","12th Ave S & 18th St S (Corner SW)","46.86215145561866","-96.75188606972517"
"12th Ave S & 19 1/2 St S (Corner SW)","12th Ave S & 19 1/2 St S (Corner SW)","46.86215501953326","-96.74928611426094"
"12th Ave S & 23rd St S (Corner SW midblock in front of Youth Services)","12th Ave S & 23rd St S (Corner SW midblock in front of Youth Services)","46.8621629459303","-96.74491751609128"
"12th Ave S & 25th St S (Corner SW)","12th Ave S & 25th St S (Corner SW)","46.862167747246986","-96.74283412739717"
"12th Ave S & 32nd St (Corner SW)","12th Ave S & 32nd St (Corner SW)","46.862188248020786","-96.72959932965668"
"12th Ave S & 34th St Cir S (Shelter 126 Corner SE)","12th Ave S & 34th St Cir S (Shelter 130 Corner SE)","46.862188062111336","-96.72598804182071"
"12th Ave S & Appletree (T intersection South side)","12th Ave S & Appletree (T intersection South side)","46.86216957366356","-96.73814433042993"
"12th Ave S & Ridgewood (Corner SE)","12th Ave S & Ridgewood (Corner SE)","46.862180384631486","-96.73467424096782"
"12th Avenue & 18th Street (Corner NE)","12th Avenue & 18th Street (Corner NE)","46.89039763","-96.8089364"
"12th Avenue S & 36th Street South (Corner SW)","12th Avenue S & 36th Street South (Corner SW)","46.86212968334604","-96.72217089827964"
"12th Avenue S & 38th Street S (At Cross Walk_ South Side)","12th Avenue S & 38th Street S (At Cross Walk, South Side)","46.86214177708578","-96.71728799882476"
"12th St N & 25th Ave N (Corner NW)","12th St N & 25th Ave N (Corner NW)","46.909987092122876","-96.79632452298108"
"13 1/2 Ave S & 43 1/2 St S TJ Maxx (Corner NE)","13 1/2 Ave S & 43 1/2 St S TJ Maxx (Corner NE)","46.86082749283553","-96.85662851240623"
"13th Ave E & 14th St E (Corner SW)","13th Ave E & 14th St E (Corner SW)","46.86202327","-96.8780999"
"13th Ave E & 16th St E (Corner SW)","13th Ave E & 16th St E (Corner SW)","46.86190355","-96.87528069"
"13th Ave E & 3rd St E (Corner SW)","13th Ave E & 3rd St E (Corner SW)","46.8622946","-96.89628422"
"13th Ave E & 5th St E (Corner SW)","13th Ave E & 5th St E (Corner SW)","46.86221782","-96.89196685"
"13th Ave E & Prairie Pkwy (Corner SW)","13th Ave E & Prairie Pkwy (Corner SW)","46.86210817","-96.88674638"
"13th Ave N & 14th St N (Corner NE)","13th Ave N & 14th St N (Corner NE)","46.889480206420465","-96.75694968466851"
"13th Ave S & 10th St S (Corner NE)","13th Ave S & 10th St S (Corner NE)","46.86180191875255","-96.79462932018542"
"13th Ave S & 11th St S (Corner SW)","13th Ave S & 11th St S (Corner SW)","46.86150025","-96.79670058"
"13th Ave S & 14th St S (Corner NE)","13th Ave S & 14th St S (Corner NE)","46.86167757","-96.80111706"
"13th Ave S & 14th St S (Corner SW)","13th Ave S & 14th St S (Corner SW)","46.86147945","-96.8016501"
"13th Ave S & 16 1/2 St S (Corner NE)","13th Ave S & 16 1/2 St S (Corner NE)","46.86167105","-96.80728555"
"13th Ave S & 16 1/2 St S (Corner SW)","13th Ave S & 16 1/2 St S (Corner SW)","46.86147045","-96.80775249"
"13th Ave S & 18th St S (Corner SW)","13th Ave S & 18th St S (Corner SW)","46.86144823","-96.81052532"
"13th Ave S & 21st St S (Corner NE)","13th Ave S & 21st St S (Corner NE)","46.86163577","-96.81340907"
"13th Ave S & 23rd St S (Corner NE)","13th Ave S & 23rd St S (Corner NE)","46.86160743","-96.81699595"
"13th Ave S & 23rd St S (Shelter 204 Corner SW)","Shelter 204 (13th Ave & 23rd St.)","46.861249042179494","-96.81755746397931"
"13th Ave S & 25th St S (Shelter 203 Corner NE)","Shelter 203 (CVS Pharmacy)","46.86179840882286","-96.819182377586"
"13th Ave S & 27th St S (Corner NE)","13th Ave S & 27th St S (Corner NE)","46.86168233","-96.82183563"
"13th Ave S & 27th St S (Corner SW)","13th Ave S & 27th St S (Corner SW)","46.861226190390575","-96.82228183772997"
"13th Ave S & 28th St S (Corner NE)","13th Ave S & 28th St S (Corner NE)","46.86164888","-96.82428245"
"13th Ave S & 32nd St S (Shelter 202 Corner SW)","Shelter 202 (Bell State Bank)","46.86141633","-96.83037498"
"13th Ave S & 33rd St S (Corner SW)","13th Ave S & 33rd St S (Corner SW)","46.86144537","-96.83268519"
